book_id,descr,descr_vecs
1706,"The Signet Classics edition of William Shakespeare's comedy of lovers misled. Romantic folly and false identites abound as an unusual love triangle takes the stage in this play about Orsino, the infatuated Duke of Illyria; Olivia, the countess he pursues; and Viola, the woman disguised as a man who comes between them. This revised Signet Classics edition includes unique features such as: • An overview of Shakespeare's life, world, and theater • A special introduction to the play by the editor, Herschel Baker • Selections from Barnabe Rich, Of Apolonius and Silla, the source from which Shakespeare derived Twelfth Night • Dramatic criticism from Samuel Johnson, William Hazlitt, Charles Lamb, and others • A comprehensive stage and screen history of notable actors, directors, and productions • Text, notes, and commentaries printed in the clearest, most readable text • And more...","[ 2.35294178e-01 -1.24312915e-01 -3.39598924e-01  1.04591332e-01
  2.30930939e-01  4.30507392e-01  2.70552844e-01  2.90219754e-01
  2.35773742e-01  3.02560069e-02 -1.85518153e-02  1.08485967e-01
 -5.59792697e-01 -2.70588368e-01 -9.84361246e-02 -3.13649297e-01
 -2.13095129e-01  2.42783055e-01 -1.88274786e-01 -9.09278765e-02
 -2.57899255e-01 -2.40301806e-02  1.57631099e-01 -9.71573517e-02
  2.53532957e-02 -6.62568361e-02  4.49617118e-01  9.25536379e-02
  3.89014870e-01  7.48215690e-02  8.71153455e-03 -2.74270117e-01
  3.33953530e-01 -2.21729535e-03 -1.21413311e-02 -1.47441253e-01
  2.91926533e-01  1.10663868e-01 -1.46513999e-01 -1.98477879e-01
 -2.86218435e-01  6.11177739e-03 -2.58008361e-01  1.02354027e-01
 -4.99501042e-02  2.20660344e-01 -1.18704319e-01  1.22523271e-01
  1.50928721e-01  8.05346444e-02 -3.47653866e-01 -1.81263000e-01
  1.62992030e-01 -5.68997813e-04 -1.43877953e-01  8.31988826e-02
 -5.82566559e-02 -4.79213856e-02  1.46376789e-01 -7.37127885e-02
 -9.27760005e-02 -4.88416404e-01  4.10423949e-02 -2.85418868e-01
  1.12411566e-01 -1.64594755e-01  3.08324932e-03 -1.88393191e-01
 -2.50424235e-03  1.01869442e-01  6.84596673e-02  2.31592715e-01
  4.36903924e-01 -2.07051679e-01 -2.40244046e-01 -1.77543983e-01
 -4.73883688e-01 -1.91312060e-01 -1.09380567e-02 -2.48763636e-01
 -4.93517742e-02 -6.68060109e-02 -1.58219665e-01  4.15303372e-02
 -5.30723929e-02  1.81234255e-01 -1.41860440e-01  3.37996900e-01
 -3.21235061e-01  3.21052194e-01  2.05852352e-02 -9.93760824e-02
  6.98165357e-01  2.27262497e-01  8.16546008e-03  3.82467121e-01]"
1707,"It's no secret that Harriet the Spy is a timeless classic that kids will love! Every day can be an adventure if you just look carefully enough! Harriet M. Welsch is a spy. In her notebook, she writes down everything she knows about everyone, even her classmates and her best friends. Then Harriet loses track of her notebook, and it ends up in the wrong hands. Before she can stop them, her friends have read the always truthful, sometimes awful things she’s written about each of them. Will Harriet find a way to put her life and her friendships back together? ""What the novel showed me as a child is that words have the power to hurt, but they can also heal, and that it’s much better in the long run to use this power for good than for evil.""—New York Times bestselling author Meg Cabot","[-0.08269021 -0.18564355 -0.00132442  0.04312104 -0.04714619 -0.05246061
  0.38987306  0.03863272  0.20083533  0.15949851  0.1563864   0.00285814
 -0.17390376 -0.14153934 -0.17962961 -0.22141816 -0.0226034   0.04048913
  0.04855791 -0.06235421  0.00960721  0.19015318 -0.06507877 -0.35610124
 -0.06380598 -0.02756821  0.14895989  0.01530114  0.06986263  0.19067226
 -0.01256548  0.12456845  0.3085713  -0.1544338   0.07055075 -0.11791943
 -0.0086004  -0.17678912 -0.09126946  0.1537246  -0.2325567   0.18423106
 -0.15755682  0.17864643  0.02580637  0.05421348  0.15279518  0.25054988
  0.19837168 -0.12802312 -0.39276624  0.07228473  0.03375617 -0.08272716
 -0.00606824 -0.01924716 -0.07517057 -0.05331297  0.11542687 -0.01384634
  0.1839711  -0.25197032 -0.11900918  0.02766953  0.16417658 -0.01496819
  0.18874946 -0.19264637  0.0551354   0.20603032  0.01139682  0.16227569
 -0.01099874  0.01710071 -0.1815487  -0.1968191  -0.04554315 -0.21296403
 -0.01849841 -0.10197345 -0.12676151 -0.15264077 -0.37834668 -0.11529189
  0.04035515  0.22663923  0.09561706  0.0623248  -0.12401482  0.30416825
  0.05333965 -0.20221706  0.51279515  0.284372   -0.3064361   0.05065206]"
1708,None,"[-2.0151265  -0.5475724  -0.34907195  0.06797177 -0.6386244  -0.07909918
  0.5382699   0.2399975  -1.0482233  -0.99053377  1.2759348   0.1396097
  0.5813868   1.508919   -0.25044075  0.94502676 -0.8532129  -1.7825289
  0.30327588  0.13694471 -0.08080913  1.6327952   0.2949224  -1.5976578
  0.3720469   0.78044456  0.08054352  0.8171373  -0.4894435   0.6375451
 -0.5110781  -0.09524089  1.5602906  -0.55652034 -0.35836172 -1.2476404
  0.506914   -0.69409955  0.38579398  1.6935374  -1.0081066   0.39384592
  0.49307752  0.0072014  -0.22553656 -1.620474   -1.0460374   1.2747433
  0.02331781 -0.256688    0.63050723  1.1033481   0.87546855 -1.3073437
  0.27957934 -1.4245371   1.1520602  -0.380946   -0.14104547  0.16022706
 -0.49056572  0.29169887 -0.66013175  0.09255859  1.5342916   0.5682583
 -0.06567673 -0.4766092   1.1643381   0.03793895 -0.49418998 -0.4988321
  1.8710673  -0.79205114 -0.02732884 -0.8423415  -0.03406318 -0.08453797
  0.60199976 -0.8070576  -0.9596926  -0.6179585  -1.0062473  -1.2268089
  1.3424575   1.033446    0.9300915   0.63386846  0.47207513 -0.13889848
 -1.873177   -0.19239074  2.8596385   0.31981122  0.30252454  1.5506909 ]"
1709,"In the unique world of Pico, Odd--an unforgettable hero who lives between the living and the dead--takes a stand against evil in a battle where there are no innocent bystanders. Reprint.","[ 0.31564406 -0.1002164  -0.06925472  0.01748277  0.0526771   0.42779982
  0.14650775  0.01550435  0.14505394  0.00263402 -0.13211489  0.01872702
 -0.24226409  0.10115965 -0.23484084 -0.29244414 -0.10516453  0.24217393
 -0.040592    0.06606728 -0.29986304  0.05539381  0.0100109  -0.2740867
  0.11064903 -0.11629734  0.41308427 -0.04644441  0.28608984  0.41280934
 -0.01868442  0.0498829   0.4025849  -0.41500223 -0.07765538 -0.11282843
  0.23271047  0.24435927  0.06462107 -0.15828069 -0.26297957 -0.00880366
 -0.17902003 -0.13288395  0.07538848  0.2261399  -0.04010748  0.09557185
  0.11552022 -0.05840081 -0.3012539  -0.05531403  0.01480696  0.22313485
 -0.15559138  0.35077116 -0.35247263  0.15045603 -0.21203488  0.03331757
  0.0744226  -0.68768024 -0.19090311 -0.12859759  0.14012167 -0.00245618
  0.11698809 -0.19041549  0.22029525  0.10997834 -0.1392619   0.34322694
 -0.04767965 -0.02361488 -0.26246217 -0.3042997  -0.3416458   0.12758884
  0.007009   -0.24691328 -0.2142528  -0.04285275 -0.14581212 -0.22061759
  0.08837902  0.34745163  0.17229192  0.19140464 -0.44967344  0.50772077
 -0.13138306  0.01805205  0.45097402  0.09091308 -0.32069907  0.24562259]"
1710,None,"[-2.0151265  -0.5475724  -0.34907195  0.06797177 -0.6386244  -0.07909918
  0.5382699   0.2399975  -1.0482233  -0.99053377  1.2759348   0.1396097
  0.5813868   1.508919   -0.25044075  0.94502676 -0.8532129  -1.7825289
  0.30327588  0.13694471 -0.08080913  1.6327952   0.2949224  -1.5976578
  0.3720469   0.78044456  0.08054352  0.8171373  -0.4894435   0.6375451
 -0.5110781  -0.09524089  1.5602906  -0.55652034 -0.35836172 -1.2476404
  0.506914   -0.69409955  0.38579398  1.6935374  -1.0081066   0.39384592
  0.49307752  0.0072014  -0.22553656 -1.620474   -1.0460374   1.2747433
  0.02331781 -0.256688    0.63050723  1.1033481   0.87546855 -1.3073437
  0.27957934 -1.4245371   1.1520602  -0.380946   -0.14104547  0.16022706
 -0.49056572  0.29169887 -0.66013175  0.09255859  1.5342916   0.5682583
 -0.06567673 -0.4766092   1.1643381   0.03793895 -0.49418998 -0.4988321
  1.8710673  -0.79205114 -0.02732884 -0.8423415  -0.03406318 -0.08453797
  0.60199976 -0.8070576  -0.9596926  -0.6179585  -1.0062473  -1.2268089
  1.3424575   1.033446    0.9300915   0.63386846  0.47207513 -0.13889848
 -1.873177   -0.19239074  2.8596385   0.31981122  0.30252454  1.5506909 ]"
1711,None,"[-2.0151265  -0.5475724  -0.34907195  0.06797177 -0.6386244  -0.07909918
  0.5382699   0.2399975  -1.0482233  -0.99053377  1.2759348   0.1396097
  0.5813868   1.508919   -0.25044075  0.94502676 -0.8532129  -1.7825289
  0.30327588  0.13694471 -0.08080913  1.6327952   0.2949224  -1.5976578
  0.3720469   0.78044456  0.08054352  0.8171373  -0.4894435   0.6375451
 -0.5110781  -0.09524089  1.5602906  -0.55652034 -0.35836172 -1.2476404
  0.506914   -0.69409955  0.38579398  1.6935374  -1.0081066   0.39384592
  0.49307752  0.0072014  -0.22553656 -1.620474   -1.0460374   1.2747433
  0.02331781 -0.256688    0.63050723  1.1033481   0.87546855 -1.3073437
  0.27957934 -1.4245371   1.1520602  -0.380946   -0.14104547  0.16022706
 -0.49056572  0.29169887 -0.66013175  0.09255859  1.5342916   0.5682583
 -0.06567673 -0.4766092   1.1643381   0.03793895 -0.49418998 -0.4988321
  1.8710673  -0.79205114 -0.02732884 -0.8423415  -0.03406318 -0.08453797
  0.60199976 -0.8070576  -0.9596926  -0.6179585  -1.0062473  -1.2268089
  1.3424575   1.033446    0.9300915   0.63386846  0.47207513 -0.13889848
 -1.873177   -0.19239074  2.8596385   0.31981122  0.30252454  1.5506909 ]"
1712,None,"[-2.0151265  -0.5475724  -0.34907195  0.06797177 -0.6386244  -0.07909918
  0.5382699   0.2399975  -1.0482233  -0.99053377  1.2759348   0.1396097
  0.5813868   1.508919   -0.25044075  0.94502676 -0.8532129  -1.7825289
  0.30327588  0.13694471 -0.08080913  1.6327952   0.2949224  -1.5976578
  0.3720469   0.78044456  0.08054352  0.8171373  -0.4894435   0.6375451
 -0.5110781  -0.09524089  1.5602906  -0.55652034 -0.35836172 -1.2476404
  0.506914   -0.69409955  0.38579398  1.6935374  -1.0081066   0.39384592
  0.49307752  0.0072014  -0.22553656 -1.620474   -1.0460374   1.2747433
  0.02331781 -0.256688    0.63050723  1.1033481   0.87546855 -1.3073437
  0.27957934 -1.4245371   1.1520602  -0.380946   -0.14104547  0.16022706
 -0.49056572  0.29169887 -0.66013175  0.09255859  1.5342916   0.5682583
 -0.06567673 -0.4766092   1.1643381   0.03793895 -0.49418998 -0.4988321
  1.8710673  -0.79205114 -0.02732884 -0.8423415  -0.03406318 -0.08453797
  0.60199976 -0.8070576  -0.9596926  -0.6179585  -1.0062473  -1.2268089
  1.3424575   1.033446    0.9300915   0.63386846  0.47207513 -0.13889848
 -1.873177   -0.19239074  2.8596385   0.31981122  0.30252454  1.5506909 ]"
1713,None,"[-2.0151265  -0.5475724  -0.34907195  0.06797177 -0.6386244  -0.07909918
  0.5382699   0.2399975  -1.0482233  -0.99053377  1.2759348   0.1396097
  0.5813868   1.508919   -0.25044075  0.94502676 -0.8532129  -1.7825289
  0.30327588  0.13694471 -0.08080913  1.6327952   0.2949224  -1.5976578
  0.3720469   0.78044456  0.08054352  0.8171373  -0.4894435   0.6375451
 -0.5110781  -0.09524089  1.5602906  -0.55652034 -0.35836172 -1.2476404
  0.506914   -0.69409955  0.38579398  1.6935374  -1.0081066   0.39384592
  0.49307752  0.0072014  -0.22553656 -1.620474   -1.0460374   1.2747433
  0.02331781 -0.256688    0.63050723  1.1033481   0.87546855 -1.3073437
  0.27957934 -1.4245371   1.1520602  -0.380946   -0.14104547  0.16022706
 -0.49056572  0.29169887 -0.66013175  0.09255859  1.5342916   0.5682583
 -0.06567673 -0.4766092   1.1643381   0.03793895 -0.49418998 -0.4988321
  1.8710673  -0.79205114 -0.02732884 -0.8423415  -0.03406318 -0.08453797
  0.60199976 -0.8070576  -0.9596926  -0.6179585  -1.0062473  -1.2268089
  1.3424575   1.033446    0.9300915   0.63386846  0.47207513 -0.13889848
 -1.873177   -0.19239074  2.8596385   0.31981122  0.30252454  1.5506909 ]"
1714,None,"[-2.0151265  -0.5475724  -0.34907195  0.06797177 -0.6386244  -0.07909918
  0.5382699   0.2399975  -1.0482233  -0.99053377  1.2759348   0.1396097
  0.5813868   1.508919   -0.25044075  0.94502676 -0.8532129  -1.7825289
  0.30327588  0.13694471 -0.08080913  1.6327952   0.2949224  -1.5976578
  0.3720469   0.78044456  0.08054352  0.8171373  -0.4894435   0.6375451
 -0.5110781  -0.09524089  1.5602906  -0.55652034 -0.35836172 -1.2476404
  0.506914   -0.69409955  0.38579398  1.6935374  -1.0081066   0.39384592
  0.49307752  0.0072014  -0.22553656 -1.620474   -1.0460374   1.2747433
  0.02331781 -0.256688    0.63050723  1.1033481   0.87546855 -1.3073437
  0.27957934 -1.4245371   1.1520602  -0.380946   -0.14104547  0.16022706
 -0.49056572  0.29169887 -0.66013175  0.09255859  1.5342916   0.5682583
 -0.06567673 -0.4766092   1.1643381   0.03793895 -0.49418998 -0.4988321
  1.8710673  -0.79205114 -0.02732884 -0.8423415  -0.03406318 -0.08453797
  0.60199976 -0.8070576  -0.9596926  -0.6179585  -1.0062473  -1.2268089
  1.3424575   1.033446    0.9300915   0.63386846  0.47207513 -0.13889848
 -1.873177   -0.19239074  2.8596385   0.31981122  0.30252454  1.5506909 ]"
1715,"Oskar and Eli. In very different ways, they were both victims. Which is why, against the odds, they became friends. And how they came to depend on one another, for life itself. Oskar is a 12-year-old boy living with his mother on a dreary housing estate at the city's edge. He dreams about his absentee father, gets bullied at school, and wets himself when he's frightened. Eli is the young girl who moves in next door. She doesn't go to school and never leaves the flat by day. She is a 200-year-old vampire, forever frozen in childhood, and condemned to live on a diet of fresh blood. John Ajvide Lindqvist's novel, a huge bestseller in his native Sweden, is a unique and brilliant fusion of social novel and vampire legend. And a deeply moving fable about rejection, friendship and loyalty.","[ 0.13670057 -0.16450883 -0.10875449  0.00894479 -0.0046967   0.32067645
  0.26474985  0.14043447  0.27866486 -0.01514626  0.08225857 -0.1196358
 -0.32822633  0.12661877 -0.13352314 -0.1266649  -0.04999668  0.13434672
  0.03022599 -0.01420376 -0.26554468  0.13231233  0.19031893 -0.2604553
  0.02132777 -0.11065583  0.3396805   0.09406853  0.17865832  0.1527816
 -0.1292496   0.18075246  0.32326284 -0.17873158 -0.01669601  0.10864826
  0.11056602  0.03474479 -0.12928738 -0.01692702 -0.21379758  0.28121418
 -0.08424304 -0.00193262  0.07253339  0.11146566 -0.11473256  0.2204549
  0.22640666 -0.0684787  -0.23074833  0.0890649   0.02463073 -0.13943703
 -0.19085766 -0.02412424 -0.27569655 -0.10158381  0.04876546 -0.09831098
  0.03554686 -0.44695848 -0.03699248 -0.01764294  0.11388861  0.06746193
  0.02337119 -0.15754694  0.15231971  0.12494441 -0.05451975  0.07119036
 -0.06207743 -0.07485022 -0.20420603 -0.20878768 -0.3538705  -0.18448234
  0.0111011  -0.11714797 -0.2075727  -0.16090673 -0.2120017  -0.13316484
 -0.01104223  0.23448078  0.20316821  0.14797273 -0.31666738  0.52460873
  0.02529931  0.10880794  0.38028115  0.28663948 -0.1884636  -0.02834878]"
1716,None,"[-2.0151265  -0.5475724  -0.34907195  0.06797177 -0.6386244  -0.07909918
  0.5382699   0.2399975  -1.0482233  -0.99053377  1.2759348   0.1396097
  0.5813868   1.508919   -0.25044075  0.94502676 -0.8532129  -1.7825289
  0.30327588  0.13694471 -0.08080913  1.6327952   0.2949224  -1.5976578
  0.3720469   0.78044456  0.08054352  0.8171373  -0.4894435   0.6375451
 -0.5110781  -0.09524089  1.5602906  -0.55652034 -0.35836172 -1.2476404
  0.506914   -0.69409955  0.38579398  1.6935374  -1.0081066   0.39384592
  0.49307752  0.0072014  -0.22553656 -1.620474   -1.0460374   1.2747433
  0.02331781 -0.256688    0.63050723  1.1033481   0.87546855 -1.3073437
  0.27957934 -1.4245371   1.1520602  -0.380946   -0.14104547  0.16022706
 -0.49056572  0.29169887 -0.66013175  0.09255859  1.5342916   0.5682583
 -0.06567673 -0.4766092   1.1643381   0.03793895 -0.49418998 -0.4988321
  1.8710673  -0.79205114 -0.02732884 -0.8423415  -0.03406318 -0.08453797
  0.60199976 -0.8070576  -0.9596926  -0.6179585  -1.0062473  -1.2268089
  1.3424575   1.033446    0.9300915   0.63386846  0.47207513 -0.13889848
 -1.873177   -0.19239074  2.8596385   0.31981122  0.30252454  1.5506909 ]"
1717,"James Fenimore Cooper's story of the French Indian War in which Hawkeye, a colonial scout and his friends Chingachkook, a chief of the Mohicans, and his son Uncas risk there lives to guide two English sisters though hostile territory and evade the evil Huron, Magua, who is determined to destroy them.","[-0.04259612 -0.25861537 -0.3308616   0.31717706  0.20860343  0.2574964
  0.1994505   0.26309788  0.15654199  0.17737648 -0.14273292  0.13327171
 -0.26645762 -0.33420715 -0.1415542  -0.38281924 -0.03300038  0.23808084
 -0.16581586 -0.2303936  -0.18964718  0.23388395  0.17083332 -0.0969504
  0.15623997  0.05816906  0.47077718  0.14252548  0.16274127  0.12830268
 -0.21034874 -0.20061983  0.43302268  0.03129585  0.00633222 -0.2950864
  0.2595791   0.00531766 -0.08034849 -0.12913126 -0.20592137  0.17084531
 -0.12481838  0.08636946 -0.02431404  0.26431173 -0.04998421  0.27120912
  0.07253584  0.12842149 -0.43576792 -0.04084423  0.14370903  0.09505409
 -0.25238308  0.04952337 -0.1038093   0.09700114  0.10415819  0.03360415
  0.10665914 -0.4600983  -0.02420688 -0.3993861   0.01454837 -0.13886079
  0.24029385 -0.09654328  0.15111335  0.08370183 -0.1396469   0.26431444
  0.2981856  -0.16249631 -0.22333692 -0.3548925  -0.5829948  -0.0217575
 -0.08334771 -0.26066053 -0.04042687 -0.03370527 -0.37482604 -0.02302187
 -0.2800757   0.05041543 -0.10363682  0.25577104 -0.33923313  0.32185796
 -0.02428614 -0.17956463  0.7397805   0.17278326 -0.09706076  0.286535  ]"
1718,"Fifteen-year-old Ginger, who lives with her mother, stepfather, and younger stepsister and never knew her father, is convinced that the strange man who keeps showing up unexpectedly is really her dad.","[-0.11067561 -0.22380614 -0.03122184  0.00172165 -0.17488293  0.36091232
  0.03661038  0.18531132  0.22857761 -0.16132946  0.0282888   0.05577713
 -0.14563616 -0.03877714 -0.18105927 -0.08167271  0.14064598  0.1741179
  0.02450381 -0.1579159  -0.05276411  0.53612715  0.22866464 -0.16144958
  0.0624592  -0.0786566   0.15849891  0.1912464   0.07473886 -0.11588372
 -0.04691616  0.1722411   0.316783   -0.05890445 -0.0577505  -0.49371466
  0.17561395 -0.16210555 -0.19936302 -0.15570988 -0.12133356  0.28463382
  0.17072181  0.01235141 -0.13575312  0.04107391  0.03279913  0.17840382
  0.15997767  0.06231409 -0.27854204 -0.00058496 -0.13600555  0.31267625
 -0.25491756  0.15701176 -0.16644669  0.05074557 -0.0397145  -0.0630824
  0.35839218 -0.25401703 -0.061628    0.04593701  0.18330261  0.23477611
  0.07157557 -0.32217303  0.16508992 -0.29838923  0.01383602  0.08672881
 -0.13246329 -0.07827406 -0.3112659  -0.1389927  -0.3568128  -0.3919948
 -0.17475459 -0.13974273 -0.06845984 -0.03853051 -0.26758483  0.11817732
 -0.07745922  0.49986315  0.08662091  0.2594462  -0.2512986   0.56551385
  0.07914395  0.03120739  0.35668415  0.22300462 -0.00126674  0.04466521]"
1719,"“Phantoms is gruesome and unrelenting…It’s well realized, intelligent, and humane.”—Stephen King They found the town silent, apparently abandoned. Then they found the first body, strangely swollen and still warm. One hundred fifty were dead, 350 missing. But the terror had only begun in the tiny mountain town of Snowfield, California. At first they thought it was the work of a maniac. Or terrorists. Or toxic contamination. Or a bizarre new disease. But then they found the truth. And they saw it in the flesh. And it was worse than anything any of them had ever imagined...","[ 0.21009885 -0.18983424 -0.2474041   0.00090721  0.00490219  0.399541
  0.21408878  0.00646515  0.25819346  0.14647992  0.3210581   0.10047798
 -0.40862894  0.17307533 -0.20449658 -0.18772706 -0.12153786 -0.07293164
  0.05454606  0.04832603 -0.16500148  0.11143224  0.14009531 -0.42660663
 -0.13909027  0.04328338  0.09975024  0.1603176   0.13272066  0.2055846
 -0.04494851 -0.12399826  0.37818047 -0.1285745  -0.04848636  0.31812283
 -0.11153043 -0.1553115  -0.15687492  0.22451508 -0.09031253  0.12895346
 -0.10978395  0.1461804   0.06185203 -0.03815453 -0.0614091   0.19105674
  0.25176477  0.12661602 -0.12744235  0.07064029 -0.09742182 -0.12375636
  0.19633752  0.13874587  0.09987196 -0.16364679  0.01372871  0.05221331
  0.00633359 -0.50382304 -0.21777883  0.10044817  0.17364629 -0.08920932
 -0.15541959 -0.3543725   0.07009452 -0.03555493  0.02302807  0.08086438
 -0.3588221   0.01293845 -0.05638768 -0.2773476  -0.17784809 -0.18586858
  0.10385352 -0.07941587 -0.24485321 -0.26532802 -0.323506    0.07029845
  0.06377254  0.3320202   0.05856921  0.10288908 -0.20979385  0.4851825
  0.14618365 -0.01123413  0.36671013  0.3319464  -0.15188056  0.12375472]"
1720,"After the death of her father, Amy, a high school student, and Roger, a college freshman, set out on a carefully planned road trip from California to Connecticut, but wind up taking many detours, forcing Amy to face her worst fears and come to terms withher grief and guilt.","[-0.03480266 -0.17681773 -0.16007237 -0.06599196  0.07949677  0.4327567
  0.09632293  0.39096332  0.3131774   0.04861851 -0.1974313  -0.30450654
 -0.30234826 -0.02992994  0.08931708 -0.26001313 -0.24024692  0.07366329
  0.02886947 -0.10145549 -0.29112968  0.31630036  0.00915778 -0.31616545
  0.19326025  0.04637164  0.47514936  0.08546607  0.16782823  0.2161439
 -0.08864102 -0.06200236  0.3952533   0.01958367  0.05608396 -0.35902217
  0.29822993  0.14912117 -0.23520237 -0.17383212 -0.43447703 -0.00419703
 -0.25087264 -0.1744155   0.06035341  0.2945688   0.00494046 -0.00504494
  0.23482339 -0.08597032 -0.38759592  0.07822753  0.05326946  0.02168144
 -0.14659564 -0.03055007 -0.11700792  0.04193201  0.08212492 -0.18873091
 -0.10890581 -0.550113   -0.01124027 -0.04999276  0.20801722  0.06982869
  0.03413392 -0.17057823 -0.12652917  0.27752665  0.14803018  0.11247902
  0.17014316  0.02067681 -0.1523909  -0.34035277 -0.51029485  0.06632635
  0.0985483  -0.20623998 -0.10401042  0.00290589 -0.15443528  0.19740885
  0.05254772  0.32013795  0.0954274   0.24977271 -0.4212758   0.39069873
  0.00075114 -0.0042235   0.4257291   0.30313486 -0.10790564  0.01188494]"
1721,One of the best-loved devotionals of all time is released with a handsome leatherette teal cover with gold stamping.,"[ 3.16364229e-01 -1.50966734e-01  1.19558617e-01  1.71421632e-01
  4.50943261e-02  8.58801380e-02  9.10487846e-02 -6.84719672e-03
  9.47571918e-02  1.08427100e-01 -1.88122079e-01 -1.35434344e-01
 -2.55164117e-01  7.96139762e-02 -1.55191839e-01 -7.71949366e-02
  1.97457016e-01  2.43968099e-01 -3.25701497e-02  1.78381249e-01
 -2.83023864e-01 -8.68315250e-02  1.93025112e-01 -3.75564784e-01
  1.33266479e-01 -2.58272737e-01  5.13603032e-01  8.99285451e-02
  4.81686592e-01  1.43716991e-01 -3.04557364e-02  1.30313784e-01
  3.74580204e-01 -4.15798634e-01 -1.07547194e-01 -2.78082162e-01
  3.15897256e-01  4.65002097e-02 -6.87719956e-02  3.01027894e-01
 -1.30143007e-02  4.65663224e-01 -3.87487089e-04 -2.94599216e-03
  4.50893313e-01  3.00699696e-02 -4.96888638e-01  3.58988166e-01
  4.54542600e-02 -1.19473785e-01 -2.60345340e-01  1.91050142e-01
  7.47919083e-03 -1.90453440e-01 -5.62786341e-01  2.93294698e-01
 -2.03150958e-02 -2.04248101e-01  1.84236874e-03 -3.55901629e-01
  2.00821050e-02 -4.75824863e-01 -8.33787695e-02  3.45609933e-02
  6.11982122e-02 -3.55732411e-01  2.76826620e-01 -2.32636824e-01
  4.28408056e-01  1.60265937e-01  1.71116173e-01  2.67736405e-01
  2.24737693e-02 -1.59638017e-01 -1.88559815e-01 -3.67064923e-01
  4.55525741e-02 -5.68285882e-01 -8.28384161e-02 -3.05939287e-01
  1.33693106e-02  1.13272453e-02 -1.19244464e-01 -2.74319172e-01
 -1.52256072e-01  8.06224644e-02  2.12531000e-01 -9.93356928e-02
 -3.19698125e-01  2.95605302e-01 -2.21068427e-01  2.46946350e-01
  3.07952255e-01  4.33587521e-01 -4.04964477e-01 -1.42896265e-01]"
1722,None,"[-2.0151265  -0.5475724  -0.34907195  0.06797177 -0.6386244  -0.07909918
  0.5382699   0.2399975  -1.0482233  -0.99053377  1.2759348   0.1396097
  0.5813868   1.508919   -0.25044075  0.94502676 -0.8532129  -1.7825289
  0.30327588  0.13694471 -0.08080913  1.6327952   0.2949224  -1.5976578
  0.3720469   0.78044456  0.08054352  0.8171373  -0.4894435   0.6375451
 -0.5110781  -0.09524089  1.5602906  -0.55652034 -0.35836172 -1.2476404
  0.506914   -0.69409955  0.38579398  1.6935374  -1.0081066   0.39384592
  0.49307752  0.0072014  -0.22553656 -1.620474   -1.0460374   1.2747433
  0.02331781 -0.256688    0.63050723  1.1033481   0.87546855 -1.3073437
  0.27957934 -1.4245371   1.1520602  -0.380946   -0.14104547  0.16022706
 -0.49056572  0.29169887 -0.66013175  0.09255859  1.5342916   0.5682583
 -0.06567673 -0.4766092   1.1643381   0.03793895 -0.49418998 -0.4988321
  1.8710673  -0.79205114 -0.02732884 -0.8423415  -0.03406318 -0.08453797
  0.60199976 -0.8070576  -0.9596926  -0.6179585  -1.0062473  -1.2268089
  1.3424575   1.033446    0.9300915   0.63386846  0.47207513 -0.13889848
 -1.873177   -0.19239074  2.8596385   0.31981122  0.30252454  1.5506909 ]"
